textID,text,selected_text,sentiment
a957503423, Thanks. End up going to Makino Chaya,Thanks.,1
1c9de7ae19,Editing all the photos I took at my brothers soccer game. He`s got a lot of work to do as a coach.,Editing all the photos I took at my brothers soccer game. He`s got a lot of work to do as a coach.,0
134cac246b,"Shouldn`t sit weirdly at the pc, I know Im going to hit the deck once I get up","Shouldn`t sit weirdly at the pc, I know Im going to hit the deck once I get up",-1
d2a221697e,"  Yes,  and I hope the show I promoted was clean.....   lol      Bella",as clea,1
d266b59ed2,"3,144 words later, it`s bedtime","3,144 words later, it`s bedtime",0
dc368da630, STEPHEN KING FO SHO,STEPHEN KING FO SHO,0
1d5066fb72, http://www.CultureShockMag.com  shoutz 2  the mix on the site is gonna b nervvoouuss,na b nervvoouus,-1
35e2ce08fc,And the Sun is shinning.........at last,Sun is shinning.........at last,1
c0aee991a0, Mmmmmm I love curry. Don`t have an Oregan though.,love,1
cc624dbe31,Checkin out what new on Twitter,Checkin out what new on Twitter,0
029cb0254a,  Have fun! Wish your mums a happy mother`s day for us!,Have fun! Wish your mums a happy mother`s day for us!,1
1563230736,ConGrats to all Graduates! Such a Beautiful thing & Big Deal! I wish i cudve attended my lil man Ryan Kdg Graduation..  Feel verY Sad!,ConGrats to all Graduates! Such a Beautiful thing & Big Deal! I wish i cudve attended my lil man Ryan Kdg Graduation..  Feel verY Sad!,0
12cdafc3e3, i miss yoooouuuu!!!!,i miss yoooouuuu!!!!,-1
7b45a29e08," sweet  i should have something new to show you by then, too",sweet,1
15867c9a66,Loves Miley`s song The Climb and loves the video  ****,Loves Miley`s song The Climb and loves the video  ****,1
57025d9fd9, Have a great time in London,great,1
add2ff34a9," Wow, you`re car`s awesome! Have fun with Alex.","Wow, you`re car`s awesome!",1
e1975adfee," I know, thx  But I`ll be ok.",thx,1
774d03b2f9,"Oh well, there go my hopes for seamless transfer of blog  however I am now on track and will have it up and running sometime this eve",there go my hopes for seamless transfer of blog  however I am now on track and will have it up and running sometime this eve,0
909c58c494, I`m not comfortable with this announcement.,not comfortable,-1
6ff579128e, can you stop working so i can have someone to play with !,can you stop working so i can have someone to play with !,0
4523e9508c,nomatter how much i sleep am still tired,am still tired,-1
7ee04efd76,left the inn  now im at school. dang its straight up dead here!! [<3Hannah],dead,-1
600ba5fe50,happy mothers` day to all your moms!,happy mothers` day to all your moms!,1
d632528038,just helping myself to some caramel digestives,helping,1
8407ac30b0, I`m sad that I missed you guys last night!,sad,-1
7f24d1d1ef,Two week extension on contract ... I`m ready for it to be done,Two week extension on contract ... I`m ready for it to be done,0
03478f8d8e,is upload video geje di youtube  http://plurk.com/p/rqaoe,is upload video geje di youtube  http://plurk.com/p/rqaoe,0
c11e6ce43e,Soaked in the rain in 30 seconds and I wasn`t even hiking 8.4 miles with 2.5 miles in the rain like last weekend.,Soaked in the rain in 30 seconds and I wasn`t even hiking 8.4 miles with 2.5 miles in the rain like last weekend.,0
0ca701d490, *happy to help*,*happy to help*,1
da608fb08e," omg!!!! I feel bad,  .Was it good?              ;","I feel bad,",-1
fcf8efaf84,DOUGIE POYNTER REPLYED TO ME,DOUGIE POYNTER REPLYED TO ME,0
4b8392274d,I have too much homework to do today,I have too much homework to do today,-1
fe99f6e3a5,Back to work I go....,Back to work I go..,0
c83d0a2c78,"takin short nap, gym and work before kids come back home tonite","takin short nap, gym and work before kids come back home tonite",0
b582845054, goodmorning,goodmorning,1
d7a6c26e66,Thank you for the advice   I`ll work on that when Im not at work.,Thank you for the advice,1
b8876dfa3e,says gots my mom a digital picture frame bout to scan pics of her wedding n all that mushy stuff  http://plurk.com/p/su3eq,says gots my mom a digital picture frame bout to scan pics of her wedding n all that mushy stuff,0
ef276daf1b,  I Hate It There Should Be A Endless Supply Of Hot Water!  I Put the Water Heater On 20mins Ago So Ill Be Gone In 10mins  ****,I Hate It,-1
8fd0a37acb,"For some reason, Corona Light tastes so much better when I am with you than it does when I am alone.   http://twitpic.com/67wa0",better,1
0e7ed1c470,Just broke her dresser shes had since she was three,broke,-1
c4fb99d6a0,"'somebody calls you, and you answer quite slowly, a girl with kaleidoscope eyes'     yeah, im normal.","'somebody calls you, and you answer quite slowly, a girl with kaleidoscope eyes'     yeah, im norma",0
33ea2ecd0c,i suppose i best get ready for work  grrr,best get ready for work  grrr,1
997d940897,"Any Windows 7 users out there have any tips on how to make the default install NOT take up 15GB??  I knew it would be big, but srsly...","Any Windows 7 users out there have any tips on how to make the default install NOT take up 15GB??  I knew it would be big, but srsly...",0
86c5e1e0c5,"I feel sick..like don`t wanna get out of bed, be bothered, don`t go 2 work, turn da light off, pull da shades n tv off type of sick",sick..,-1
ac4aef6710," Don`t fall to celebrity worship, though... just write what you think, do the best you can and rock on",e best,1
851583e0de,"http://twitpic.com/4w8l1 - Haaha, my bangs are kinda long..? oops","http://twitpic.com/4w8l1 - Haaha, my bangs are kinda long..? oops",0
5598fef74d," yes mate, on Friday","yes mate, on Friday",0
edad720595, oh phew you scared me. I wont have ANY access when im in mexico,scared,-1
2157db21e4,my n95 hacked  no signing needed.. thx OPDA,my n95 hacked  no signing needed.. thx OPDA,0
6f0c0ff0b3,Finally going home! Its been a long night.. Ready to crash and have awesome dreams,awesome,1
a8ad6cf418," 'phlegmily green house...' That was clever, but ever sooooooo ...... eeeeewwwwww. [more slow clapping] Get well soon.",Get well soon.,1
ad12342c25,recovering from being sick ... anyone want to bring me soup?,recovering from being sick,1
5135411c2b,and Happy Mothers Day to All you Moms out there i hope you had a good day,and Happy Mothers Day to All you Moms out there i hope you had a good day,1
e6da2d1835,New issue of  in the office...desperately want to flick through but have so much to do. It`ll have to wait,New issue of  in the office...desperately want to flick through but have so much to do. It`ll have to wait,-1
13f981fa30, ohhh beautiful place. You on hols? Go steady on the mead!,beautiful,1
0869ea3794, Sounds good. 'This patch was brought to you by ...',Sounds good.,1
adf6b0cfe3,So not looking forward to hurricane season. 3 days until...,not looking forward,-1
3fb8232118,  Yeah the spammers are discriminating: none of the females  are part of the target group apparently,e discriminating,-1
728f1c618d,  I was watching Parental Control,I was watching Parental Control,0
9a0841af8a,Sky man is quite friendlyand likes joey  still annoyed that I got woke up about half eight though,Sky man is quite friendlyand likes joey  still annoyed that I got woke up about half eight though,0
bd77c870c1,quick catch up on missed Neighbours ... poor Libby,missed,-1
646f9a6972,Getting really guilty,really guilty,-1
47d014b2d8,"Oh, ew. That`s too bad - after not using this certain lip gloss for a long time I just tried to wear it - literally making my lips burn.",literally making my lips burn.,-1
093d8392dd, Yay! I too had some joy in that department,e joy,1
bf3001dd7a," thks 4 the follow, and  tweets, i returned the love",thks,1
1adaa3519d,"Happy Mother`s Day to all the mommies out there, be you woman or man as long as you`re `momma` to someone this is your day!",Happy Mother`s Day,1
f702a8f65f,"Hell, my iTunes music library is even bipolar!",iTunes music library is even bipolar!,-1
c20f4e96ce,has a really really itchy eye,has a really really itchy eye,-1
f5f26ea04a,  well hit me and we can see...it depends then,well hit me and we can see...it depends then,0
fc8b4e690e,Damnit Day 26 is at Northpark mall..I use to live near there  someone steal Mike for meeee!,steal,-1
5e52ca56d8, Awe - didn`t know cats got skin cancer,Awe,-1
f949071243, I think the x3 is confusing ;-) can`t believe that many peeps will know that it should be a heart,I think the x3 is confusing,-1
387094c295, Look forward to seeing the resume!,Look forward to seeing the resume!,0
2f8e80a88d,@_Glitter_  kk but 4 sum reason its not lettin me vote 4 them,s not lettin me vote 4 them,-1
a472edc463, thanks Daxx you too!  God Bless you brother!,God Bless you brother!,1
65cb1e8ed1,is updating you LIVE from Benihana of Tokyo in Waikiki  Happy Birthday Mark!!!,Waikiki  Happy Birthday Mark!!!,1
54f1da99f5,26 pin multi core cable goes bad just B4 service,bad,-1
03ecaa53db, Haahaha omg.. dude I read that and almost choked.. haha thanks,Haahaha omg.. dude I read that and almost choked.. haha thanks,0
7225190154,just dropped my biscuit in my tea,just dropped my biscuit in my tea,0
