textID,text,selected_text,sentiment
2b21cac943,trying to figure this twitter thing out!   I`m quite excited about it,I`m quite excit,1
d8246697a4,Getting some sleep. Stuff with the family and a ton of homework tomorrow. Night,Getting some sleep. Stuff with the family and a ton of homework tomorrow. Night,0
d5b749a28e,bah! bk on reception  comps aint working.....BUT the sun has got his hat on hip-hip-horay  x,bah! bk on reception  comps aint working.....BUT the sun has got his hat on hip-hip-horay,-1
63a08190fe,Sneezing hurts my back.,Sneezing hurts my back.,-1
aa75b05d84,"_OfOz cool, catch you laterz!!!","_OfOz cool, catch you laterz!!!",1
4f6e7cb017,_Doll Yes! I live in Milwaukee and would love to attend a closing talk,love,1
4fa21f6f58, OMG that is toooo funny!,OMG that is toooo funny!,1
fd42b4b81e,I cant use my blackberry today. This sucks.,sucks.,-1
ac2ec1e085,  Hope you have a better weekend then..,Hope you have a better weekend then.,1
13f981fa30, ohhh beautiful place. You on hols? Go steady on the mead!,beautiful,1
cba905da5f," thanks for the follow, your family photo is beautiful  happy mother`s day to your wife!",beautiful,1
04898b63de,my tv is so boring,boring,-1
15e9a33cdd, Happy Mothers Day! i hope tom got you something special! enjoy day!  xo,Happy Mothers Day!,1
d1bcd71f83,_ I got 71! That`s more than I`m following... I feel special now,I feel special now,1
bd80317224," Hm, maybe Louise Rennison will break tradition and it will be out in October instead  I always order the UK versions anyway","Hm, maybe Louise Rennison will break tradition and it will be out in October instead  I always order the UK versions anyway",0
0ef3b64fbd, I am afraid you`ve had a bit of a #fail as the last two recommendations aren`t available in the UK,afraid,-1
9cfa9342c1, i don`t like to see you like this...  there must be something to make you smile...,i don`t like,-1
78aeeb8517,170th update,170th update,0
497470c5f8, I`m not too bad. Just trying to get by so I can live the dream AND rule the world.   Saving up for a super hero costume.,I`m not too bad. Just trying to get by so I can live the dream AND rule the world.   Saving up for a super hero costume.,0
131798455c,Bank holiday  Off to the station now. Catch you all later.,Bank holiday  Off to the station now. Catch you all later.,0
893458514d,I **** love Alexander William Gaskarth,I **** love Alexander William Gaskarth,1
b75b2dd48a,getting ready to shop  birmingham here i come,getting ready to shop  birmingham here i come,0
d658c26c05, i like it,i like it,1
5e7570e321, Will arrive tomorrow morning at 7  #early,Will arrive tomorrow morning at 7  #early,0
4863688a7f,_x all three are in the first 2 weeks of june for me,_x all three are in the first 2 weeks of june for me,0
214e59211b,Is actually workin the weekend...Not for it,Is actually workin the weekend...Not for it,0
eacae53aa9,Cat is anxiously watching wild turkeys in my back yard....I think they have their eyes on my bunny rabbit,I think they have their eyes on my bunny rabbit,-1
3fcf9fcf82,suffering benadryl hangover this morning and a killer headache.... ugh!,suffering,-1
0dcc9b191c,i just fell going into my house.. not fun,not fun,-1
ea0328d144, Happy frickin` birthday!  Try not to be too bitter about sharing your day with your lovely wife and all other mothers out there.,r lovely,1
01b201117c, see you..... 08.08.09,see you..... 08.08.09,0
a2b1222f38,missing  lol. plaid bud. haha. **** i can`t do the BG right.,missing  lol. plaid bud. haha. **** i can`t do the BG right.,-1
a38bc3f4f3,awww the wee gril in britains got talent,awww,1
1a1be5d777,Flight to hurghada delayed 7 hours,delayed,-1
0e5230af2d, hey guys it`s leann. . i dont know if you remember me but i just wanted to say that i`m very excited to see you guys go far,excited,1
6cf7b5f739," Miley, I tried voting for you, and it wont let me vote for some reason  Ill try back a little later! <3",it wont let me vote for some reason,-1
176e5e5aea, what happened? who`s the jerk!?,who`s the jerk!?,-1
392d2d7d69,"_jean Now that I think about it, when I get to the States, they`ll probably still be touring, so they won`t be there  Dammit!",Dammit!,-1
62ca37ae4d, Ahh okay makes sense to start the preparations now then,sense,1
e9ef6f77f0,_Elaine lol y i see ya twitts all tha time n i didnt get this one till right now lol and u never get mines  **** twitta,y i see ya twitts all tha time n i didnt get this one till right now lol and u never get mines  ****,0
1c71a17783,"Dilemma, what to wear: Now: SanFran Foggy and 58 , then Sacramento in cple hrs sun and 86 degr .","Dilemma, what to wear: Now: SanFran Foggy and 58 , then Sacramento in cple hrs sun and 86 degr .",0
976ab97faf," sorry I missed you . Saw you across the way, I was busy taking pix-abt 4:15 came to meet U-but U were gone",sorry,-1
6eba0f4a1b,Sad. I don`t know what to do with my life. Everything I have done since the age of 16 has been towards healthcare and nursing,Sad. I,-1
8f2a36da4c,monday morning . lets whip out some code today,monday morning . lets whip out some code today,0
e85202c654, Oh  I`m sorry  I can`t even imagine...although I know it will be reality for me soon,m sorry,-1
ddb98de46e,Omg going to die of swine flu when I go to Melbourne,die,-1
5d71e59b19,So sad you didn`t day Hello to me  ,So sad you didn`t day Hello to me,-1
2a0463352b,that`s enough! I`ll do nothing for 2 hours.,that`s enough! I`ll do nothing for 2 hours.,0
17e6c97023, what? You won`t be two blocks away any more?,what? You won`t be two blocks away any more?,0
9316504b1a,_ good morning - you`re up early! Feeling enthused to design your life?  thanks to manics for that phrase,Feeling enthused,1
ea356b62fe, no    I kind of miss my first main.   Male Tauren Shaman named Icewater stuck at 61.  Maybe I`ll fetch him one day.,of mis,-1
b5dcfff178, id poke u...on face book but u dont have 1  lol,id poke u...on face book but u dont have 1  lol,0
9bf41d3d1d,Ugh i hate photobucket! an amazing place to edit pictures is: www.picnik.com  i use it alll the time.,Ugh,-1
26ee7663ef,Longest trackk meet everrr,Longest trackk meet everrr,0
7a3ba8fe4c," Thought you should mention that you don`t need to enable Growl in Tweetie to make your plugin work, and to avoid duped notifications","Thought you should mention that you don`t need to enable Growl in Tweetie to make your plugin work, and to avoid duped notifications",0
bb6b6968a5,back on the twit. much hw`s to do... will post something interesting when i think of it,back on the twit. much hw`s to do... will post something interesting when i think of it,0
ef3b84f0d5,"bummed i didnt get to see manchester orchestra bc it was sold out, i spent all night buying tv shows on itunes  lame",lame,-1
8191ab9164,heyya people!,heyya people!,0
a0a6e32f0f,i am! lol its just i got used 2 talkin 2 ya..!,lol,1
009734582e," No! I would like this! Yesterday, I talked with Alyso Stoner xD And Benton sent me a private messae and coment me here!",like,1
0398e13b67," no, silly, to shoot other shoppers with  though a taser is probably the more humane penalty for 12 items in 5 item line",e penalty,-1
3c68f6963c," lol,  on blip.fm is not the  on twitter! i hate that song btw",r! i hate that son,-1
3afcddc07d,"****, got Chili Beans on my shirt  I hate that I can be a messy eater. Such a lady!",I hate that I can be a messy eater.,-1
a3899db074, Lol yes she was.  I totally agree with your blog as well!,I totally agree,1
5bac5df5db,cannot sleep i`m SUPER DUPER DUPER excited pour la PARIS.  the love city.,excited,1
ccb2f88d9a,off to my Psychology class.,off to my Psychology class.,0
98059dcc12,". No sun  but I can see the ocean now..I almost ran over a squirrel driving home from the store, was so foggy! Where r you?",ran over,-1
89e6f86bf8,Ok peeps...I`m not crazy...I was twittering 2 someone but had no idea how 2 direct msg from my cell! Blonde moment!,Ok peeps...I`m not crazy...I was twittering 2 someone but had no idea how 2 direct msg from my cell! Blonde moment!,0
3ca9460bf2, Thanks for the follow! (raises hand) I am,Thanks for the follow!,1
e39f5de674,"ohi i would marry Travis Pastrana in a second... hes not that attractive, hes just the sweetest thing  and what he does is attractive ;)ha","ohi i would marry Travis Pastrana in a second... hes not that attractive, hes just the sweetest thing  and what he does is attractive ;)ha",0
9c33123aed," Well, I do what I can for the X spammers watchin`","Well, I do what I can for the X spammers watchin`",0
360cee7f54," 'ICANT LIVE, i cant live!!!' lmao. Oh and btw - oooowwwch my foot  hurry with that plaster, im going to bleed to death",", im going to bleed to death",-1
58e3269ea4,So exhausted..can`t sleep. I don`t like these nights,So exhausted..can`t sleep.,-1
8d6fb4185c,"it`s you and me forever ?, it`s you and me right now   flywithmeobsessive. Im crying",m crying,-1
96674184d6,_X sorry about that.,sorry,-1
5280d13eb6," Yes,all on my own  OH gone to bed after a minor soap marathon. Photo editing night 4 me. Ohhh Inn on the lake, nice food.","e, nice food",1
78027366db, Do you ever sleep?,Do you ever sleep?,0
7e1f400b72,I have now realized I am not cool enough to ever get a shout out from   (this player will not be playing on! hahahah),I have now realized I am not cool enough to ever get a shout out from   (this player will not be playing on! hahahah),0
7702791c8a," I really should put up a pic, I guess.","I really should put up a pic, I guess.",0
567df90034, unless absolutely gorgeous I`d rather men stayed covered up! Have seen sights today to put you off your food.......  #ukpubs,gorgeous,1
d552770b7b,Wish I was in Chicago.,Wish I was in Chicago.,1
06ed35d428,Sitting outside in the cold by the ocean with a glass of wine.,Sitting outside in the cold by the ocean with a glass of wine.,1
ef52ec7e13,My mouth hurts. Wish I could cut my head off,hurts.,-1
5c25597e48," Bom dia! FRIOOOO... que delï¿½cia!!!! Good luck in your first day, Ju!","Good luck in your first day, Ju!",1
ed4d068c7a, Dont worry man. You`ll see me just as much this week as you did last week.,Dont worry man.,1
8363dce30a,Memorizing the first 18 lines of the General Prologue of The Canterbury Tales. Ughhh.,Memorizing the first 18 lines of the General Prologue of The Canterbury Tales. Ughhh.,0
a003950128," Susan Egan, I love her! And yeah, it said I would have a pleasant trip.","I love her! And yeah, it said I would have a pleasant trip.",1
5a25daa522, good!  now let`s go get this done..... www.HennesseyBlack.com,good!  now let`s go get this done,1
d85d4f4fa8, never noticed that before but you`re right! guess that`s because my heart is always dreaming of travel...,never noticed that before but you`re right! guess that`s because my heart is always dreaming of travel...,0
98fc0a931d, I selected 4 people today out of my list. Out of 300 or so I picked the 4 that made me laugh!,I selected 4 people today out of my list. Out of 300 or so I picked the 4 that made me laugh!,0
001b0e9abe,she made my sister cry too hahah. bless her.  i hope she can do it again.,bless,1
a490706bc1, For me everything ok except install crashed at the end and now Safari crashes at every cmd+Q,For me everything ok except install crashed at the end and now Safari crashes at every cmd+Q,0
3c0707161c, time to leave a passive agressive note to the owners.  It`s not the dog`s fault... it`s their **** owners,time to leave a passive agressive note to the owners.  It`s not the dog`s fault... it`s their **** owne,-1
efa60e6aaf,all these follow fridays make me feel really unpopular,make me feel really unpopular,-1
97f1a30e59,hates continually getting sick whenever he has exams,hates continually getting sick,-1
10963273b9,Almost lost my phone.,Almost lost my phone.,0
c89510fc76,"So from this moment foward, imma have to spend my money wisely. No dress and shoe shopping every week. No more pigging out @ my fav rest.",wisely.,1
d667ecff01,i have runny nose... i can`t breathe.. terrible feeling...,i have runny nose... i can`t breathe.. terrible feeling...,-1
94cf586a06,"simple recipe for creamy spaghetti with bacon, corn, mushrooms and peppers  http://bit.ly/KtfBR","simple recipe for creamy spaghetti with bacon, corn, mushrooms and peppers  http://bit.ly/KtfBR",0
09d0f8f088, two macaroons go into a bar....one says oh your a nut.  wow I need to get out more.,wo,1
a8bdb22729, people are pathetic  how do u know some one is trying?,pathetic,-1
20c2ecb64f,"Had a nice visit last night from a boy with voracious stubble, does anyone know what to do about a raw chin? haha",Had a nice visit,1
132f15a855,Hey hey get tickets to ALL TIME LOW when they`re in Aussie kay. www.myspace.com/destroyalllines Yup. Go there get tickets,Hey hey get tickets to ALL TIME LOW when they`re in Aussie kay. www.myspace.com/destroyalllines Yup. Go there get tickets,0
b3157ffa60,Back to work,Back to work,0
2145c186b8,playing board games!!!,playing board games!!!,0
109bec266c, safe & easy travels Mills. I`ll miss u,safe & easy travels Mills. I`ll miss u,0
d6f0e4ac5e,just bought a good chocolate and a magazine... Later I`ll play comanche 4... My good saturday,good,1
e3922e5326,Yes!! i has 100 minutes of Sims 2 plus Seasons  ) fun fun expansions,fun fun,1
8dcc294d46, Hey Dee... I wish I could make it to the mastermind session tomorrow  I`m in a wedding in Statesboro. hope to chat soon.,wish,1
3dfc4c8810,Good morning  hope u all have a great day,hope,1
4d8f747e25, yay! your face is back,yay!,1
545e12475f, excellent good to see,excellent,1
50dca3ae2a," yum, yum.  I love quesadillas....and wallpaper for that matter tooo","yum, yum.",1
bb73d74fe9,  Those dog pic had me  ROLF!  The one  with the snow stuck too it  has that 'if looks could kill look' way funny,look' way,1
8cc4f0e5a0," that is cute, a manly cute of course.  reminds me of a Scion","cute,",1
40031960a7,ahh im getting really tired and ej isnt up yet! im might have to go to sleep without talking to her again,tired,-1
534f49ff16,i aint lyk any othaa gurrrrrl i dont lyk the jonas brothers-kristi.,t lyk any othaa gurrrrrl i,1
f9557de9bb,It`s too hot.  I don`t like it.,I don`t like it.,-1
5bc318f14f,awake from the nap,awake from the nap,0
713d77e7f6,This 'Monarchy' is gonna bleed ALL of us dry! We are nothing more than slaves to the pigs in D.C. I don`t reconize my country anymore!,is gonna bleed ALL of us dry!,-1
ae8e530552,is chatting with Willy Valdez about comics,is chatting with Willy Valdez about comics,0
a88181a7ec,some advice for all of you: dont pressure wash your foot. it hurts and is not worth it. you really do want the skin on your foot. FYI. ow,some advice for all of you: dont pressure wash your foot. it hurts and is not worth it. you really do want the skin on your foot. FYI. ow,0
f2f187fd15," get that fixed, after few years it can worth some thing",after few years it can worth some thing,1
befb3f2536,"@_everblue She actually posted again to say that it was the 2nd and not the 4th, so nevermind.",nevermind.,1
9814561b92,wut do i do now????,wut do i do now????,0
0ce2cbb2d1,graduation next sunday.. im going to miss my class,miss my,-1
cb3ca1167f,Omg i`m going to robinson with tyler wfm. And i freakin miss anthony  ugh today kinda sucks. Lex<3,And i freakin miss anthony  ugh today kinda sucks.,-1
209b5a01b5,need more songs to download. suggestions? ill take anything,need more songs to download. suggestions? ill take anything,0
fafc26d78f,went to the dmv today.....some things never change,some things never change,-1
a5e0a2a981,... that`s all,... that`s all,0
3eb977ee27,Traffic is down to a crawl on I-94 right now.,Traffic is down to a crawl,-1
1fdbac152f, I`m working on a painting due for school and hating myself for sleeping all **** day and starting this so late.,d hating myself,-1
d7b5f796b9,I HATE CANCER. I HATE IT I HATE IT I HATE IT.,I HATE CANCER. I HATE IT I HATE IT I HATE IT.,-1
52483f7da8,"i lost all my friends, i`m alone and sleepy..i wanna go home","i lost all my friends, i`m alone and sleepy..",-1
d632528038,just helping myself to some caramel digestives,helping,1
e11142577b,Its time for me to pack up at work now and have not had much time for twitter!  Thank you for any follow fridays. Be back later!,Thank,1
f6a79c28cf,"  he`s hard to please, methinks he has the picture in his head just fine",d just fine,1
40605ec546, dude i read that wrong! Haha well good good. Thanks.  but now I agree.,Thanks.,1
dbefaac0c1,My poor andrew just had 2 of his wisdom teeth removed.  i wish he`ll get better fast.,wish,1
abe4a36ce0,":O Job interview today, i`m really gonna mess this uuuup",", i`m really gonna mess this uuuup",-1
209889dbb5,I`m so tired. I don`t get how I am. I sat on the lawn mower and didn`t push the whole **** thing.,I`m so tired.,-1
5eaf154ecc,Good morning friends. Happy May Bank Holiday.,Good morning friends. Happy May Bank Holiday.,1
6256af4595,says again.. happy mothers day to all your moms  http://plurk.com/p/svdsh,happy mothers day,1
392272a501,"sorry , i chili cheese dogged without you",sorry,-1
39b286912b, not a lot!! im bored! My names Crissy BTW lol How u doinnnn???,not a lot!! im bored!,-1
f0c5be2158,I dont want to be ugly anymore,I dont want to be ugly,-1
461402680c, mmm but nothing i can do. lucky ive got great friends like u to cheer me up,great,1
a6d3f0acb3,Just realized all his fantastic nerdfriends no longer live in Rochester,Just realized all his fantastic nerdfriends no longer live in Rochester,0
2be4cf8a34,my head huwwts,my head huwwts,-1
7a41c66002,oasis or ribena? toughest decision everrr,toughest,-1
a4584edcda,"Monday mornin`, back to work today. Good thing I live my job.",Good thing I live my job.,1
cc16fd208e,"Tired, tired, tired.. Didn`t sleep well last night..   Thought too much.. Slept not much.. Glad that it`s almost weekend!","Tired, tired, tired.. Didn`t sleep well last night..   Thought too much.. Slept not much.. Glad that it`s almost weekend!",0
6d4a9efd40,This chair is not comfortable at all,not comfortable,-1
7f6b799d2a, Ouchies. Sorry to hear it  Are you going to get it checked out?,Sorry,-1
db66ea6a28,Stupid MSN It wont let me onnnn,Stupid,-1
2238c9acc4,I have just looked the time and it is #BGT in 20mins. I may hibernate for an hour or so.,I have just looked the time and it is #BGT in 20mins. I may hibernate for an hour or so.,0
f10e631e2d,mmm much better day... so far! it`s still quite early. last day of #uds,much better day..,1
c6ab65bfbc,i really want a blackberry  my sidekick is hella wack. night,sidekick,-1
518ae43e25,Good morning  ready to start this week.,Good,1
15720688cb,Less rain more sunshine,Less rain more sunshine,0
de551d1d2c, nope! not comin up 2nite gurl!,nope!,-1
93fe886317,"Typical overcast bank holiday Monday, glad we went to the beach on Saturday",glad,1
d3237c8fb3,:   whatcha reading?,:   whatcha reading?,0
dc44d46fd8,just got home from the City Lights show  yeahhh!,just got home from the City Lights show  yeahhh!,0
3e61dc8b4e,OMJ! J.O.N.A.S. is the best tv show EVER!  ?,OMJ! J.O.N.A.S. is the best tv show EVER!  ?,0
4e686eec94," well sadly I live in the most boring city in the USA, so there is nothing to do here.",sadly,-1
e09aac5e8e," TV is shite,thank god for youtube","TV is shite,thank god for youtube",0
238bada7f2,In pillow heaven,In pillow heaven,1
81479b3df0,We`re practicing our blackjack skills. It doesn`t look hopeful.  http://yfrog.com/0l2tsj,It doesn`t look hopeful.,-1
9b0d10c5b9, i am glad cos u wouldnt lose me as a fan anyway  i get to see you guys on saturday evening at leicester  it better be good!,i am glad,1
293357478c,Spanish... The suckiest class ever. But I`m learning atleast. Te quiero Tiasha!,Spanish... The suckiest class ever. But I`m learning atleast. Te quiero Tiasha!,0
55b3fcc26b,"I have drunk hickups. I had a pretty laid back, great night. But I still can`t help but be mad about the situation I put myself in","I have drunk hickups. I had a pretty laid back, great night. But I still can`t help but be mad about the situation I put myself in",0
1d201cb974,8 of my 11 followers are random spammers,spammers,-1
9e7f2ad135, oh! so this could well be your last post!,oh! so this could well be your last post!,0
e8d6813bab,"Just woke up and washed up, I have class @ 10 till 11 then chillin in G Building with my nigguhs. Then my bby is coming over @ 3:30!  ilh?","Just woke up and washed up, I have class @ 10 till 11 then chillin in G Building with my nigguhs. Then my bby is coming over @ 3:30!  ilh?",0
03d206102c,About to Enjoy the Silence,Enjoy,1
31bb070f00, pffftt! You know how I like to stay busy!  I`m Awesome (and sober...dang)! How are you??,!  I`m Awesome,1
ac63f0d8fe,is starving & has a chem quiz due at noon,starving,-1
3e95b01fc7,is looking at that person from a very different pov.  never thought i`d see this day arrive!,is looking at that person from a very different pov.  never thought i`d see this day arrive!,0
f4c50d4552,"PKU meeting in London, ON all day today.  One of my favorite PKUers Jessie not there.   He has PKU and Leukemia and was in the hospital.",nd was in the hospital,-1
89764b6d5a,Well that exam rocked...one more to go - the one we`ve all been dreading! Bit of revision tonight before work tomorrow,Well that exam rocked...one more to go - the one we`ve all been dreading!,0
2d8a1632cd,I miss my boys,miss,-1
89d4f25694,_nation just launched twittix v1.10 - not convinced,not convinced,-1
07247c8d53,"1 surprise party today, 2 parties tomorrow.  FunFunFun! But, need to finish bug project. O_O",FunFunFun!,1
4b08c65e4a,In class till 12  wishing the rain would go away!!,In class till 12  wishing the rain would go away!!,0
5fc740bfb8,Getting AxKit running on Ubuntu 8.04 is making my head explode.,my head explode.,-1
6d880eeb97,bored fixed the internet for my dad but now im bored to death,im bored to death,-1
bae0da462d, Happy birthday. Let us know what you get up to old boy,Happy,1
2de015fca0,has not finished the bio mols mind map  stupid sheet hid sections from me on the back!,stupid,-1
d3746ae467, ur welcome  u finished ur speech (typed it and written notes),welcome,1
2839a4d1d8,"Stupid jobs, idk what to do.",Stupid,-1
a502aadba7,Drinking and smoking is very bad.---but im grown tho,is very bad.-,-1
bd856e42b1, A hungry fool. Ill probably never see that Krispy Kreme again. Had to enjoy it. They closing down,A hungry fool. Ill probably never see that Krispy Kreme again. Had to enjoy it. They closing down,0
38edf28778," You mustv`e read my mind. I WAS going, but now it`s thunderstorming AND I have to pick up the boys from the bus stop","You mustv`e read my mind. I WAS going, but now it`s thunderstorming AND I have to pick up the boys from the bus stop",0
762b429364, Lucky you...my day has gone by with large amount of boredom...and a little stress. The detalis can get a bit gruesome,. The detalis can get a bit gruesome,-1
1563230736,ConGrats to all Graduates! Such a Beautiful thing & Big Deal! I wish i cudve attended my lil man Ryan Kdg Graduation..  Feel verY Sad!,ConGrats to all Graduates! Such a Beautiful thing & Big Deal! I wish i cudve attended my lil man Ryan Kdg Graduation..  Feel verY Sad!,0
5792fa307e,another bday w a special friend,special,1
34eb887ee0,I still can`t believe the Matt McCoy interview got 255 views!! Twitter truly is....AWESOME!,Twitter truly is....AWESOME!,1
e0a4561c0f,SCENE **** AT 4AM IS ALWAYS THE ****,****,-1
46930072fa,Hallooo bayern!hallooo stau!,Hallooo bayern!hallooo stau!,0
c736b32428,'i hear its wonderful in california.','i hear its wonderful in california.',1
3a73e57137,Bouta donate blood! Ahhhhh!,Bouta donate blood! Ahhhhh!,0
0edae5cb22,No `rosie day` today  goal is to leav my house b4 my mom gets here hmmm maybe `rosie day` rescheduled for....wed......,No `rosie day` today  goal is to leav my house b4 my mom gets here hmmm maybe `rosie day` rescheduled for....wed......,0
c7ee0e5853,is trying to make this sunday last 48hours,is trying to make this sunday last 48hours,0
8d9d23964e,http://twitpic.com/4w3he The pretty flowers john mains brought the ladies 2nite!,The pretty flowers john mains brought the ladies 2nite!,1
2cf25847c5, love session 2 of king of queens,love,1
fd2fbdb0d3, Love **** Magix it`s cool!!... great rhythm!!!,great,1
b72b855538, Definitely! I have usually found that critics know virtually nothing of what constitutes a good movie. Rarely am I wrong.,wrong.,-1
6dba3a987e,Hav fun at heav y Metal happy hour you guys! In the future  accadentally sets it on fire while smoking with ,accadentally,-1
a6b1d92a86,homework,homework,0
e6ce5c4ef7,Not actually managed to purchase anything from the ovi store yet. Constant server error on check out,Not actually managed to purchase anything from the ovi store yet. Constant server error on check out,0
5226cea4ee,Heyya guys! does anyone know how to give formulas to create a sudoku? Please help,Heyya guys! does anyone know how to give formulas to create a sudoku? Please help,0
0039c7e4a4,is gonna have an irish wedding,is gonna have an irish wedding,0
aa371d19d2," Err, I get that  Now, with the TimThumb, what`s with the url?","Err, I get that  Now, with the TimThumb, what`s with the url?",0
9d300f0f9a,just got home. went to totoro cafe (finally) for the first time ever. i liked it! what a colorful place. such a happy atmosphere,i liked it! what a colorful place. such a happy atmosphere,1
5e447212d2, I`m inclined to think it`s stupid.,stupid.,-1
1996048e7a,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,i wish,1
cbb5ab8e25, Happy Mother`s Day! Hope you have an awesome time with the Bug,Happy Mother`s Day!,1
b06bdfd712,"Oh yeah, Radio1 is SO playing Earth, Wind and Fire","Oh yeah,",1
625c189693, Not really stuck on F1.. but as the weather is here today I might just stay in and watch it.,Not really stuck on F1.. but as the weather is here today I might just stay in and watch it.,0
d1d0331bc7, where and when is your next show? or upcoming ones? i really want to see you guys,i really want to see you guys,1
